region,tier,roll_count,item_id,weight,min,max
# 지역 × 상자 종류 루팅 표 (2026-09-11 신설, docs/region-loot.md §루팅 정리 결정). tier 칸 = 상자 종류.
# 한 상자 = roll_count번 뽑기(가중치). 예산(MapSpawnController)은 뽑기 횟수를 센다. 계산대·금고·좌판(고철 오브젝트)은 예산과 무관하게 늘 채운다.
# 고철 화폐(scrap_money)는 stall·register·safe에만(+시체는 유닛별 cashMin/Max). 수치는 가안 — 플레이하며 조정.
# 표가 없는 지역·종류는 scrap_market 같은 종류 → 지역 일반 표(region_loot.txt container_*/ground_*) 순으로 찾는다.
# ── 길가 잡동사니 ──
scrap_market,junk,1,junk_can_empty,10,1,2
scrap_market,junk,1,junk_plastic_bottle,8,1,2
scrap_market,junk,1,junk_newspaper,6,1,2
scrap_market,junk,1,junk_cigarette_pack,6,1,1
scrap_market,junk,1,junk_magazine,5,1,1
scrap_market,junk,1,junk_wire_tangle,5,1,1
scrap_market,junk,1,junk_glass_shard,4,1,2
scrap_market,junk,1,coupon_faded,5,1,2
scrap_market,junk,1,reg_scrap_coupon_stack,4,1,2
scrap_market,junk,1,battery_aa,4,1,1
scrap_market,junk,1,scrap_metal,5,1,2
scrap_market,junk,1,screw,4,1,2
scrap_market,junk,1,junk_tape_duct,3,1,1
scrap_market,junk,1,soda_can,3,1,1
# ── 자동차 트렁크 ──
scrap_market,trunk,2,tool_part,8,1,1
scrap_market,trunk,2,wire,8,1,2
scrap_market,trunk,2,scrap_metal,8,1,3
scrap_market,trunk,2,fuel_can,5,1,1
scrap_market,trunk,2,battery_aa,6,1,2
scrap_market,trunk,2,water_bottle,6,1,1
scrap_market,trunk,2,canned_food,5,1,1
scrap_market,trunk,2,tape_roll,4,1,1
scrap_market,trunk,2,repair_kit,3,1,1
scrap_market,trunk,2,bandage,4,1,1
scrap_market,trunk,2,val_phone_old,4,1,1
scrap_market,trunk,2,junk_remote_tv,4,1,1
scrap_market,trunk,2,smoke_bomb,2,1,1
scrap_market,trunk,2,backpack_basic,1,1,1
# ── 노점 좌판 (고철) ──
scrap_market,stall,2,scrap_money,12,30,150
scrap_market,stall,2,reg_scrap_neon_tube,8,1,2
scrap_market,stall,2,reg_scrap_coupon_stack,8,1,3
scrap_market,stall,2,val_lottery_ticket,6,1,2
scrap_market,stall,2,coupon_faded,5,1,3
scrap_market,stall,2,canned_food,5,1,1
scrap_market,stall,2,instant_noodles,4,1,2
scrap_market,stall,2,energy_bar,4,1,2
scrap_market,stall,2,coffee,4,1,1
scrap_market,stall,2,ingredient_salt,3,1,2
scrap_market,stall,2,ingredient_flour,3,1,1
scrap_market,stall,2,ingredient_sugar,3,1,2
scrap_market,stall,2,val_ring_copper,3,1,1
scrap_market,stall,2,val_radio_hand,2,1,1
scrap_market,stall,2,recipe_bread,1,1,1
# ── 나무상자 ──
